Date,Time,Latitude,Longitude,Magnitude,Epicentre
"2017/09/21","13:04","27.62","86.25","4.6","Dolakha"
"2017/08/24","16:25","28.06","85.94","4.8","Sindhupalchok-Tibet border"
"2017/08/21","17:48","27.66","86.27","4.6","Dolakha"
"2017/07/24","10:29","27.56","85.96","4.0","Dolakha"
"2017/07/02","07:43","27.34","86.49","5.1","Okhaldhunga"
"2017/06/28","00:09","27.66","86.41","4.2","Ramechhap"
"2017/06/12","17:39","27.62","86.10","4.1","Dolakha"
"2017/04/24","17:04","27.86","85.77","4.2","Sindhupalchowk"
"2017/02/27","10:06","27.38","86.13","4.7","Ramechhap"
"2017/02/27","09:22","27.36","86.12","4.6","Ramechhap"
"2017/02/18","06:00","27.79","84.80","4.0","Dhading"
"2017/02/04","17:58","27.73","86.08","4.4","Dolakha"
"2016/11/28","5:20","27.79","86.58","5.6","Ramechap/Solukhumbu"
"2016/10/17","10:03","27.87","85.30","4.0","Nuwakot"
"2016/10/15","18:22","28.04","85.17","4.1","Rasuwa"
"2016/10/12","14:14","27.66","85.95","4.1","Dolakha"
"2016/10/11","12:53","27.67","85.95","4.6","Dolakha"
"2016/10/07","10:37","27.65","86.13","4.2","Dolakha"
"2016/09/18","22:57","27.91","85.77","4.6","Sindhupalchowk"
"2016/09/05","07:49","27.78","86.35","4.5","Dolakha"
"2016/09/05","06:22","27.82","86.14","4.1","Dolakha"
"2016/07/23","11:59","27.99","84.71","4.1","Gorkha"
"2016/07/08","04:08","27.84","86.16","4.1","Dolakha"
"2016/07/07","17:38","27.92","85.66","4.4","Sindhupalchowk"
"2016/07/07","14:44","28.31","84.35","4.3","Lamjung"
"2016/06/22","18:45","27.76","86.34","4.1","Dolakha"
"2016/06/21","11:34","27.93","85.21","4.4","Nuwakot"
"2016/06/14","05:12","28.03","84.64","4.3","Gorkha"
"2016/06/03","05:10","27.96","85.62","4.4","Sindhupalchowk"
"2016/05/28","15:24","27.94","85.50","4.6","Sindhupalchok"
"2016/05/24","00:54","27.73","85.16","4.2","Dhading"
"2016/05/15","4:30","27.93","85.50","4.4","Sindhupalchowk"
"2016/05/14","05:05","27.97","85.55","4.3","Sindhupalchowk"
"2016/05/13","01:09","27.69","86.24","4.1","Dolakha"
"2016/05/11","14:37","28.01","84.68","4.5","Gorkha"
"2016/05/11","07:04","28.01","84.94","4.4","Dhading"
"2016/05/05","10:31","28.24","84.99","4.1","Gorkha/Dhading"
"2016/04/26","15:18","28.05","85.38","4.3","Rasuwa"
"2016/04/24","2:16","28.08","85.13","4.2","Nuwakot"
"2016/04/22","16:49","27.79","85.85","4.0","Sindhupalchowk"
"2016/04/22","00:41","27.72","86.29","4.0","Dolakha"
"2016/04/12","20:26","27.56","86.17","4.4","Dolakha"
"2016/04/09","19.05","27.65","85.31","4.5","Lalitpur"
"2016/04/04","10:16","27.72","86.09","4.7","Dolakha"
"2016/03/31","04:26","27.93","85.59","4.0","Sindhupalchowk"
"2016/03/30","18:11","27.89","85.73","4.7","Sindhupalchowk"
"2016/03/17","10:59","27.34","86.27","4.0","Okhaldhunga"
"2016/03/15","03:12","27.84","85.73","4.5","Sindhupalchowk"
"2016/03/13","11:00","27.83","84.90","4.8","Dhading"
"2016/03/11","15:13","27.90","85.87","4.2","Sindhupalchowk"
"2016/03/06","07:10","27.69","85.93","4.0","Sindhupalchowk"
